"","locality","decimalLatitude","decimalLongitude","locationID","tmp_vatnLnr"
"194","Koltjønna",64.418091614199,12.024341850066,"NVE:vatnLnr:40208",40208
"195","Storsøyen",64.3703738948292,11.7914140977005,"NVE:vatnLnr:40421",40421
"196","Murusjøen",64.4774163893208,14.035019564777,"NVE:vatnLnr:1127",1127
"197","Ytter-Bangsjøen",64.2973012870373,11.9938038390331,"NVE:vatnLnr:27184",27184
"198","Follavatnet",64.0385109514051,11.077186176076,"NVE:vatnLnr:943",943
"199","Snåsavatnet",64.1860795986136,12.010752299687,"NVE:vatnLnr:930",930
"200","Liavatnet",64.1847941744273,11.8066138523638,"NVE:vatnLnr:41186",41186
"201","Skogvatnet",64.1741795176445,11.7489619359645,"NVE:vatnLnr:941",941
"202","Lømsen",64.0989365234906,11.5156629367691,"NVE:vatnLnr:937",937
"203","Liavatnet",64.0578870241239,11.3154110167679,"NVE:vatnLnr:41756",41756
"204","Vesterdyen",64.0909579305079,11.662185707733,"NVE:vatnLnr:41614",41614
"205","Vesterdalvatnet",64.16583859263,11.6820466638446,"NVE:vatnLnr:41279",41279
"206","Gilten",64.2064325252699,11.5576366868355,"NVE:vatnLnr:684",684
"207","Fossemvatnet",64.0634569673918,11.6252253868202,"NVE:vatnLnr:932",932
"208","Reinsvatnet",64.0402717950665,11.5836759723146,"NVE:vatnLnr:931",931
"209","Rungstadvatnet",64.0574420501082,11.4951415538993,"NVE:vatnLnr:41745",41745
"210","Vassaunvatnet",64.0564305899508,11.4679831441145,"NVE:vatnLnr:41754",41754
"211","Meltingvatnet",63.7823631175718,10.7606039440754,"NVE:vatnLnr:948",948
"212","Kattmagan",63.8223135545145,10.8663090007863,"NVE:vatnLnr:36915",36915
"213","Litjmeltingen",63.8131823266309,10.8831933058664,"NVE:vatnLnr:36928",36928
"214","Torsvatnet",63.7708403862227,10.8903793845163,"NVE:vatnLnr:36983",36983
"215","Ålvatnet",63.7556813192479,10.861824134911,"NVE:vatnLnr:37012",37012
"216","Bjørstadvatnet",63.7818868368974,10.9204275780276,"NVE:vatnLnr:36972",36972
